Timestamp,BUS_Voltage(V),BUS_Current(A),BUS_Phase_Current(A),BUS_RoationSpeed(rpm)
1687768811.1308126,72.8,-17.699999999999818,16.800000000000182,29499
1687768811.2307723,72.8,-17.699999999999818,19.0,29499
1687768811.3307383,72.8,-17.699999999999818,-12.699999999999818,29506
1687768811.4308124,72.8,-17.59999999999991,8.0,29503
1687768811.5307846,72.8,-17.59999999999991,11.400000000000091,29506
1687768811.6307771,72.8,-17.5,9.900000000000091,29503
1687768811.7307432,72.8,-17.59999999999991,-16.0,29506
1687768811.8307712,72.7,-17.59999999999991,20.5,29506
1687768811.9307742,72.8,-17.59999999999991,16.40000000000009,29506
1687768812.0307436,72.7,-14.199999999999818,26.90000000000009,29521
1687768812.1307454,72.5,-6.599999999999909,98.10000000000036,29664
1687768812.2307723,72.60000000000001,-11.399999999999636,29.100000000000364,29924
1687768812.330749,72.8,-17.299999999999727,9.5,29957
1687768812.4307814,72.8,-16.59999999999991,-9.799999999999727,29946
1687768812.5307841,72.8,-16.399999999999636,20.0,29946
1687768812.630748,72.8,-16.199999999999818,19.200000000000273,29949
1687768812.7308183,72.8,-16.09999999999991,-3.399999999999636,29949
1687768812.8307345,72.8,-15.799999999999727,21.40000000000009,29942
1687768812.93074,72.8,-15.699999999999818,16.40000000000009,29942
1687768813.0307467,72.8,-16.699999999999818,-13.699999999999818,29946
